,SOIL1,SOIl2,SOIL3,SOIL4,PV1,PV2,NPV
932,0.185648262500763,0.229080930352211,0.545567452907562,0.708556532859802,0.5459955334663391,0.07431487739086151,0.3450471758842468
939,0.186221048235893,0.232421159744263,0.551335334777832,0.710943520069122,0.5334592461585999,0.0743233859539032,0.3468482494354248
947,0.186801999807358,0.236371397972107,0.558489918708801,0.713559031486511,0.5214729905128479,0.07433931529521942,0.3479868471622467
954,0.187307834625244,0.239826574921608,0.565528035163879,0.715943813323975,0.5041610598564148,0.07438427209854126,0.3477850556373596
962,0.187701001763344,0.243592336773872,0.573237001895905,0.718619287014008,0.4891201853752136,0.07442239671945572,0.3476400077342987
969,0.188236102461815,0.247227668762207,0.581350743770599,0.721318602561951,0.48380929231643677,0.07445028424263,0.3484654128551483
976,0.188596814870834,0.250679939985275,0.591509461402893,0.724123179912567,0.4827929437160492,0.0745076984167099,0.3510785698890686
984,0.189208522439003,0.254581063985825,0.600959181785584,0.727237343788147,0.4862689971923828,0.07437372207641602,0.35434356331825256
991,0.189419105648994,0.258373647928238,0.609089374542236,0.729736804962158,0.4938414692878723,0.07438144087791443,0.3590865135192871
999,0.190210774540901,0.262008935213089,0.617825090885162,0.732827603816986,0.5036267042160034,0.07440271973609924,0.3645350933074951
1006,0.190251544117928,0.263151109218597,0.620110690593719,0.733280181884766,0.5136838555335999,0.07443016022443771,0.36951056122779846
1014,0.190671280026436,0.267209589481354,0.62853342294693,0.736026525497437,0.5241729617118835,0.07444040477275848,0.3742155134677887
1021,0.190921500325203,0.270856291055679,0.635851204395294,0.738498628139496,0.535112202167511,0.07444198429584503,0.3789764940738678
1029,0.191219925880432,0.274950325489044,0.643688917160034,0.741315305233002,0.5457648038864136,0.07442744821310043,0.38370001316070557
1036,0.191542342305183,0.278570413589478,0.65025132894516,0.743544816970825,0.5559453964233398,0.07437816262245178,0.38824406266212463
1044,0.192140847444534,0.282726168632507,0.657403767108917,0.746041893959045,0.5646538138389587,0.07432323694229126,0.39249351620674133
1051,0.192612990736961,0.286424487829208,0.66349470615387,0.748413443565369,0.5719112753868103,0.07424081116914749,0.39648929238319397
1059,0.193102687597275,0.290665715932846,0.670510411262512,0.750984191894531,0.5773628354072571,0.07416142523288727,0.4000968337059021
1066,0.193200066685677,0.294490516185761,0.676725447177887,0.753385484218597,0.5810811519622803,0.07407484203577042,0.40341541171073914
1073,0.193105638027191,0.298343688249588,0.682977974414825,0.755820035934448,0.5829561352729797,0.07398482412099838,0.4065916836261749
1081,0.192826226353645,0.302744477987289,0.690075874328613,0.758500277996063,0.5829162001609802,0.07388012856245041,0.40916889905929565
1088,0.19258289039135,0.306585133075714,0.696197152137756,0.760772526264191,0.5810238122940063,0.07375194877386093,0.4116688668727875
1096,0.192308887839317,0.310952186584473,0.702815711498261,0.763067424297333,0.5770466327667236,0.07358366250991821,0.4135594367980957
1103,0.192221134901047,0.31477490067482,0.708262801170349,0.765139043331146,0.5716434717178345,0.07339884340763092,0.4149509072303772
1111,0.192200347781181,0.319093078374863,0.714352667331696,0.767372667789459,0.5662553906440735,0.07313626259565353,0.41620373725891113
1118,0.192342326045036,0.322928458452225,0.719546854496002,0.769198894500732,0.5553750395774841,0.07284718751907349,0.4162447452545166
1126,0.19261971116066,0.32726913690567,0.725048065185547,0.771266520023346,0.5324141383171082,0.07249033451080322,0.41375741362571716
1133,0.192909240722656,0.331032335758209,0.729556083679199,0.773001194000244,0.5011584758758545,0.07206857949495316,0.4075537919998169
1141,0.193088322877884,0.335455417633057,0.73449319601059,0.774977624416351,0.469262033700943,0.0715862587094307,0.3999219834804535
1148,0.19305594265461,0.339201420545578,0.738509893417358,0.776459872722626,0.4332283139228821,0.07099886238574982,0.39048701524734497
1156,0.192983105778694,0.343482941389084,0.742986679077148,0.778240442276001,0.41360780596733093,0.07039780169725418,0.38478755950927734
1163,0.192913576960564,0.347264051437378,0.747134804725647,0.779850482940674,0.4079231321811676,0.06987620145082474,0.38336995244026184
1170,0.192839369177818,0.351097822189331,0.751268088817596,0.781541466712952,0.4059619903564453,0.06940796226263046,0.3835754990577698
1178,0.192719802260399,0.355444014072418,0.75577849149704,0.783296525478363,0.40448692440986633,0.06898434460163116,0.3840779662132263
1185,0.19261260330677,0.359265178442001,0.759431421756744,0.784846067428589,0.4024028778076172,0.06856188178062439,0.3844892680644989
1193,0.192562937736511,0.363558799028397,0.763218283653259,0.786595404148102,0.4017210006713867,0.06822407245635986,0.38555482029914856
1200,0.192518040537834,0.367342889308929,0.766202688217163,0.788041591644287,0.4027324318885803,0.0679783970117569,0.38753440976142883
1208,0.192525833845139,0.371682018041611,0.769285321235657,0.789649546146393,0.40521442890167236,0.06778126209974289,0.39018598198890686
1215,0.192520380020142,0.375505775213242,0.77135568857193,0.791033506393433,0.4090616703033447,0.06764614582061768,0.393659770488739
1223,0.192546620965004,0.379772871732712,0.77267199754715,0.792398810386658,0.4135647416114807,0.0675763338804245,0.39774367213249207
1230,0.192560970783234,0.383563429117203,0.772839426994324,0.793471574783325,0.41810348629951477,0.06756050139665604,0.40186163783073425
1238,0.192480236291885,0.387785673141479,0.773392021656036,0.794815540313721,0.42258507013320923,0.0675380676984787,0.40592989325523376
1245,0.192452028393745,0.391508162021637,0.775602579116821,0.796059668064117,0.4267241656780243,0.06748281419277191,0.40974101424217224
1252,0.192362442612648,0.3952457010746,0.778489530086517,0.797369658946991,0.43000271916389465,0.06738657504320145,0.41328760981559753
1260,0.192274913191795,0.399488598108292,0.781582295894623,0.798793375492096,0.4320679306983948,0.06726842373609543,0.4163222312927246
1267,0.192231759428978,0.403141558170319,0.783374905586243,0.799896955490112,0.43234533071517944,0.06712809205055237,0.4186154901981354
1275,0.19224987924099,0.407311856746674,0.783789157867432,0.801056861877441,0.43124622106552124,0.06698255985975266,0.4204469919204712
1282,0.192393139004707,0.41094982624054,0.782138586044312,0.801793575286865,0.42822718620300293,0.06686657667160034,0.42154425382614136
1290,0.192570552229881,0.415105700492859,0.77780282497406,0.802605211734772,0.42273762822151184,0.06675052642822266,0.4215429425239563
1297,0.192403882741928,0.418818712234497,0.773418545722961,0.803351521492004,0.4143478274345398,0.06659995019435883,0.42018288373947144
1305,0.191595360636711,0.423082679510117,0.767852663993835,0.804269969463348,0.40272966027259827,0.06637677550315857,0.41708654165267944
1491,0.181896179914474,0.50206983089447,0.749858856201172,0.809884369373322,0.0815986841917038,0.04054316133260727,0.1770690381526947
1498,0.182695329189301,0.505249917507172,0.753817498683929,0.811569631099701,0.0898328572511673,0.03965621441602707,0.1875998079776764
1506,0.183534637093544,0.50887143611908,0.762068212032318,0.813510239124298,0.09665881097316742,0.040369030088186264,0.19496409595012665
1513,0.184254497289658,0.512024521827698,0.767908275127411,0.815184831619263,0.10601742565631866,0.04602918401360512,0.20435158908367157
1521,0.184989392757416,0.515522181987762,0.772738337516785,0.816818952560425,0.11387045681476593,0.04830652102828026,0.2132437378168106
