,SOIL1,SOIl2,SOIL3,SOIL4,PV1,NPV,PV2
872,0.179280504584312,0.201972827315331,0.514858365058899,0.687112510204315,0.5468947887420654,0.3620927929878235,0.2908689081668854
879,0.180148378014565,0.204939916729927,0.515980362892151,0.68955796957016,0.5497324466705322,0.36666160821914673,0.2899181842803955
887,0.181110918521881,0.208499476313591,0.518192827701569,0.692453384399414,0.5521849393844604,0.3712140917778015,0.2888508141040802
894,0.181952267885208,0.211614519357681,0.520681619644165,0.695031583309174,0.5539997816085815,0.37473300099372864,0.2870592772960663
902,0.182813957333565,0.215176224708557,0.524468302726746,0.697890818119049,0.5557296276092529,0.37882164120674133,0.2851504385471344
909,0.183511078357697,0.218446537852287,0.528331756591797,0.700264573097229,0.5576319098472595,0.38279616832733154,0.2836364507675171
917,0.184315264225006,0.222081661224365,0.533629834651947,0.703125715255737,0.5585207939147949,0.38674524426460266,0.28120964765548706
924,0.184955775737762,0.225240007042885,0.538926243782043,0.705672740936279,0.5583898425102234,0.3909081220626831,0.2774783968925476
932,0.185648262500763,0.229080930352211,0.545567452907562,0.708556532859802,0.5548883676528931,0.39412540197372437,0.26658374071121216
939,0.186221048235893,0.232421159744263,0.551335334777832,0.710943520069122,0.5480709075927734,0.3980748951435089,0.25519803166389465
947,0.186801999807358,0.236371397972107,0.558489918708801,0.713559031486511,0.5399067997932434,0.4023264944553375,0.2470388412475586
954,0.187307834625244,0.239826574921608,0.565528035163879,0.715943813323975,0.5268860459327698,0.4064224660396576,0.23679351806640625
962,0.187701001763344,0.243592336773872,0.573237001895905,0.718619287014008,0.5147320628166199,0.41073915362358093,0.22894002497196198
969,0.188236102461815,0.247227668762207,0.581350743770599,0.721318602561951,0.5095860362052917,0.41546306014060974,0.22775107622146606
976,0.188596814870834,0.250679939985275,0.591509461402893,0.724123179912567,0.5096634030342102,0.4197397232055664,0.2265699952840805
984,0.189208522439003,0.254581063985825,0.600959181785584,0.727237343788147,0.5134487748146057,0.4238993227481842,0.22708068788051605
991,0.189419105648994,0.258373647928238,0.609089374542236,0.729736804962158,0.520486056804657,0.42821064591407776,0.2317276895046234
999,0.190210774540901,0.262008935213089,0.617825090885162,0.732827603816986,0.529206395149231,0.43283572793006897,0.2375023514032364
1006,0.190251544117928,0.263151109218597,0.620110690593719,0.733280181884766,0.5384195446968079,0.437287837266922,0.24267826974391937
1014,0.190671280026436,0.267209589481354,0.62853342294693,0.736026525497437,0.5477943420410156,0.44220638275146484,0.2475428730249405
1021,0.190921500325203,0.270856291055679,0.635851204395294,0.738498628139496,0.5575715899467468,0.446490615606308,0.25253787636756897
